127.0.0.1 - - [12/Dec/2021:17:29:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:29:35 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:29:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:43:22 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:43:22 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:43:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:43:22 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:43:22 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 200 136681
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:43:22 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 200 380822
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:43:22 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:43:22 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 200 305661
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:43:22 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:43:34 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 500 4011
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:43:47 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:43:55 +0900] "GET /BBS/loginAction.jsp?userID=300100&userPassword=1234 HTTP/1.1" 500 2645
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:52:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:52:11 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:52:11 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:52:11 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:52:11 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:52:11 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:52:11 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:17:52:32 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3157
